id,grp,session,period,ticket,group_won,group_prize,private_earn,share_prize,
508,0,1,1,2,1,80,8,20,1
505,0,1,1,3,1,80,7,20,1
502,0,1,1,3,1,80,7,20,1
504,0,1,1,5,1,80,5,20,1
508,0,1,2,2,0,0,8,0,1
502,0,1,2,5,0,0,5,0,1
505,0,1,2,2,0,0,8,0,1
504,0,1,2,6,0,0,4,0,1
502,0,1,3,10,0,0,0,0,1
508,0,1,3,2,0,0,8,0,1
505,0,1,3,5,0,0,5,0,1
504,0,1,3,5,0,0,5,0,1
506,1,1,1,0,0,0,10,0,2
507,1,1,1,2,0,0,8,0,2
501,1,1,1,5,0,0,5,0,2
503,1,1,1,0,0,0,10,0,2
506,1,1,2,0,1,80,10,20,2
503,1,1,2,5,1,80,5,20,2
501,1,1,2,5,1,80,5,20,2
507,1,1,2,4,1,80,6,20,2
501,1,1,3,4,1,80,6,20,2
507,1,1,3,5,1,80,5,20,2
506,1,1,3,0,1,80,10,20,2
503,1,1,3,10,1,80,0,20,2
512,0,2,1,10,1,80,0,20,3
514,0,2,1,5,1,80,5,20,3
510,0,2,1,0,1,80,10,20,3
515,0,2,1,3,1,80,7,20,3
512,0,2,2,9,1,80,1,20,3
510,0,2,2,5,1,80,5,20,3
514,0,2,2,5,1,80,5,20,3
515,0,2,2,3,1,80,7,20,3
515,0,2,3,3,0,0,7,0,3
514,0,2,3,5,0,0,5,0,3
512,0,2,3,9,0,0,1,0,3
510,0,2,3,2,0,0,8,0,3
513,1,2,1,6,0,0,4,0,4
509,1,2,1,5,0,0,5,0,4
516,1,2,1,5,0,0,5,0,4
511,1,2,1,2,0,0,8,0,4
513,1,2,2,8,0,0,2,0,4
509,1,2,2,4,0,0,6,0,4
516,1,2,2,0,0,0,10,0,4
511,1,2,2,2,0,0,8,0,4
516,1,2,3,0,1,80,10,20,4
511,1,2,3,10,1,80,0,20,4
509,1,2,3,10,1,80,0,20,4
513,1,2,3,9,1,80,1,20,4
518,0,3,1,2,1,80,8,20,5
519,0,3,1,5,1,80,5,20,5
521,0,3,1,2,1,80,8,20,5
524,0,3,1,4,1,80,6,20,5
518,0,3,2,3,0,0,7,0,5
521,0,3,2,2,0,0,8,0,5
519,0,3,2,1,0,0,9,0,5
524,0,3,2,3,0,0,7,0,5
521,0,3,3,3,0,0,7,0,5
519,0,3,3,5,0,0,5,0,5
524,0,3,3,4,0,0,6,0,5
518,0,3,3,3,0,0,7,0,5
517,1,3,1,1,0,0,9,0,6
523,1,3,1,3,0,0,7,0,6
522,1,3,1,4,0,0,6,0,6
520,1,3,1,2,0,0,8,0,6
523,1,3,2,4,1,80,6,20,6
517,1,3,2,2,1,80,8,20,6
522,1,3,2,8,1,80,2,20,6
520,1,3,2,0,1,80,10,20,6
522,1,3,3,6,1,80,4,20,6
517,1,3,3,2,1,80,8,20,6
523,1,3,3,4,1,80,6,20,6
520,1,3,3,5,1,80,5,20,6
525,0,4,1,2,1,80,8,20,7
530,0,4,1,0,1,80,10,20,7
527,0,4,1,3,1,80,7,20,7
531,0,4,1,0,1,80,10,20,7
531,0,4,2,0,0,0,10,0,7
527,0,4,2,2,0,0,8,0,7
530,0,4,2,10,0,0,0,0,7
525,0,4,2,0,0,0,10,0,7
530,0,4,3,0,0,0,10,0,7
525,0,4,3,1,0,0,9,0,7
527,0,4,3,3,0,0,7,0,7
531,0,4,3,0,0,0,10,0,7
526,1,4,1,0,0,0,10,0,8
532,1,4,1,5,0,0,5,0,8
529,1,4,1,1,0,0,9,0,8
528,1,4,1,1,0,0,9,0,8
532,1,4,2,5,1,80,5,20,8
526,1,4,2,0,1,80,10,20,8
529,1,4,2,2,1,80,8,20,8
528,1,4,2,2,1,80,8,20,8
526,1,4,3,0,1,80,10,20,8
532,1,4,3,5,1,80,5,20,8
529,1,4,3,2,1,80,8,20,8
528,1,4,3,2,1,80,8,20,8
540,0,5,1,0,0,0,10,0,9
538,0,5,1,3,0,0,7,0,9
533,0,5,1,4,0,0,6,0,9
539,0,5,1,2,0,0,8,0,9
540,0,5,2,0,0,0,10,0,9
538,0,5,2,3,0,0,7,0,9
533,0,5,2,4,0,0,6,0,9
539,0,5,2,3,0,0,7,0,9
540,0,5,3,0,0,0,10,0,9
538,0,5,3,3,0,0,7,0,9
533,0,5,3,7,0,0,3,0,9
539,0,5,3,7,0,0,3,0,9
