id,exchange,ready1,ready2,cont,time1a,grp,trt,session,location,des_period,big_prize,machine,destroy_pay,tr_pay,ShowFee,eday,etime,lottery,tr_mover,tr_period,die_roll,fday,ftime
501,0.08,1,1,1,360,1,1,1,FINISHED,3,80,20,56,120,5,2018-09-27,16:31:00,24,2,5,1,,
502,0.08,1,1,1,306,0,1,1,FINISHED,3,80,25,32,100,5,2018-09-27,16:31:00,24,1,5,1,,
503,0.08,1,1,1,501,1,1,1,FINISHED,3,80,22,55,140,5,2018-09-27,16:31:00,24,2,5,2,,
504,0.08,1,1,1,336,0,1,1,FINISHED,3,80,18,34,50,5,2018-09-27,16:31:00,24,1,5,2,,
505,0.08,1,1,1,270,0,1,1,FINISHED,3,80,23,40,120,5,2018-09-27,16:31:00,24,1,5,2,,
506,0.08,1,1,1,357,1,1,1,FINISHED,3,80,19,70,130,5,2018-09-27,16:31:00,24,2,5,3,,
507,0.08,1,1,1,582,1,1,1,FINISHED,3,80,24,59,100,5,2018-09-27,16:30:00,24,2,5,3,,
508,0.08,1,1,1,112,0,1,1,FINISHED,3,80,21,44,110,5,2018-09-27,16:31:00,24,1,5,3,,
509,0.07,1,1,1,825,1,2,2,FINISHED,3,80,21,31,107.5,5,2018-10-02,15:59:00,24,1,5,4,,
510,0.07,1,1,1,302,0,2,2,FINISHED,3,80,23,63,170,5,2018-10-02,15:59:00,24,2,5,3,,
511,0.07,1,1,1,708,1,2,2,FINISHED,3,80,22,36,70,5,2018-10-02,15:59:00,24,1,5,2,,
512,0.07,1,1,1,275,0,2,2,FINISHED,3,80,25,42,100,5,2018-10-02,15:59:00,24,2,5,3,,
513,0.07,1,1,1,817,1,2,2,FINISHED,3,80,1,27,100,5,2018-10-02,15:58:00,24,1,5,4,,
514,0.07,1,1,1,203,0,2,2,FINISHED,3,80,20,55,140,5,2018-10-02,15:59:00,24,2,5,2,,
515,0.07,1,1,1,1175,0,2,2,FINISHED,3,80,2,61,150,5,2018-10-02,15:58:00,24,2,5,3,,
516,0.07,1,1,1,942,1,2,2,FINISHED,3,80,24,45,100,5,2018-10-02,15:59:00,24,1,5,2,,
517,0.07,1,1,1,548,1,3,3,FINISHED,3,80,4,65,160,5,2018-10-03,16:07:00,24,2,5,1,,
518,0.07,1,1,1,296,0,3,3,FINISHED,3,80,17,42,90,5,2018-10-03,16:06:00,24,1,5,3,,
519,0.07,1,1,1,396,0,3,3,FINISHED,3,80,18,39,100,5,2018-10-03,16:06:00,24,1,5,3,,
520,0.07,1,1,1,595,1,3,3,FINISHED,3,80,9,63,100,5,2018-10-03,16:07:00,24,2,5,3,,
521,0.07,1,1,1,1163,0,3,3,FINISHED,3,80,19,43,90,5,2018-10-03,16:06:00,24,1,5,4,,
522,0.07,1,1,1,402,1,3,3,FINISHED,3,80,12,52,150,5,2018-10-03,16:07:00,24,2,5,2,,
523,0.07,1,1,1,880,1,3,3,FINISHED,3,80,10,59,100,5,2018-10-03,16:07:00,24,2,5,3,,
524,0.07,1,1,1,1066,0,3,3,FINISHED,3,80,11,39,87.5,5,2018-10-03,16:07:00,24,1,5,2,,
