SESSION,GRP,PERIOD,ID1,ID2,MOVE1,MOVE2,P1A,TRT,P2A,Endow,loss,truth,ranval_move1,ranval_move2,ranval_p1a,ranval_p2a
1,1,1,502,501,10,10,0,1,30,100,0,1,,,,
1,2,1,504,503,50,80,100,1,50,100,0,1,,,,
1,3,1,505,506,40,10,40,1,10,100,0,1,,,,
1,4,1,508,507,50,50,60,1,20,100,0,1,,,,
1,1,2,502,507,20,10,20,1,30,100,0,1,,,,
1,2,2,504,501,50,0,100,1,20,100,0,1,,,,
1,3,2,505,503,30,50,10,1,80,100,0,1,,,,
1,4,2,508,506,50,10,60,1,10,100,0,1,,,,
1,1,3,502,506,10,0,0,1,10,100,0,1,,,,
1,2,3,504,507,0,0,0,1,20,100,0,1,,,,
1,3,3,505,501,40,30,20,1,20,100,0,1,,,,
1,4,3,508,503,40,50,50,1,20,100,0,1,,,,
1,1,4,502,503,10,10,10,1,20,100,0,1,,,,
1,2,4,504,506,40,10,80,1,10,100,0,1,,,,
1,3,4,505,507,30,30,10,1,20,100,0,1,,,,
1,4,4,508,501,50,50,60,1,20,100,0,1,,,,
2,1,1,509,510,30,20,30,2,50,100,0,1,,,,
2,2,1,511,512,30,50,60,2,30,100,0.5,1,,,,
2,3,1,513,514,20,40,30,2,50,100,0.5,1,,,,
2,4,1,516,515,0,0,0,2,50,100,0.25,1,,,,
2,1,2,516,510,0,0,0,2,40,100,0,1,,,,
2,2,2,509,512,60,90,80,2,40,100,0,1,,,,
2,3,2,511,514,30,50,60,2,50,100,1,1,,,,
2,4,2,513,515,30,40,30,2,30,100,0,1,,,,
2,1,3,513,510,30,20,50,2,20,100,0.25,1,,,,
2,2,3,516,512,0,0,0,2,40,100,0.25,1,,,,
2,3,3,509,514,100,100,150,2,30,100,0.25,1,,,,
2,4,3,511,515,30,40,60,2,30,100,0.25,1,,,,
2,1,4,511,510,30,90,60,2,30,100,0,1,,,,
2,2,4,513,512,20,20,30,2,40,100,0,1,,,,
2,3,4,516,514,0,0,0,2,50,100,0,1,,,,
2,4,4,509,515,60,90,80,2,30,100,0.25,1,,,,
3,1,1,518,517,30,30,50,3,10,100,0.25,1,,,,
3,2,1,519,520,0,0,0,3,10,100,0,1,,,,
3,3,1,521,522,30,40,60,3,20,100,0,2,,,,
3,4,1,524,523,20,40,30,3,40,100,1,1,,,,
3,1,2,518,523,30,20,50,3,40,100,0.25,2,,,,
3,2,2,519,517,0,0,0,3,20,100,0,1,,,,
3,3,2,521,520,30,10,60,3,10,100,0,2,,,,
3,4,2,524,522,20,10,30,3,100,100,0.25,1,,,,
3,1,3,518,522,20,10,10,3,100,100,0,1,,,,
3,2,3,519,523,0,0,0,3,50,100,1,2,,,,
3,3,3,521,517,20,20,30,3,0,100,1,1,,,,
3,4,3,524,520,0,0,0,3,20,100,0.5,2,,,,
3,1,4,518,520,20,0,10,3,10,100,0.5,1,,,,
3,2,4,519,522,0,0,0,3,100,100,0.25,2,,,,
3,3,4,521,523,20,20,10,3,30,100,0.5,1,,,,
3,4,4,524,517,0,0,0,3,0,100,0,1,,,,
4,1,1,526,525,0,0,0,2,40,100,0,1,,,,
4,2,1,528,527,30,40,30,2,40,100,0.25,1,,,,
4,3,1,529,530,20,30,10,2,0,100,0,1,,,,
4,4,1,532,531,50,0,30,2,0,100,0,1,,,,
4,1,2,532,525,50,100,50,2,30,100,0.5,1,,,,
4,2,2,526,527,0,0,0,2,40,100,0.5,1,,,,
4,3,2,528,530,40,60,40,2,0,100,0,1,,,,
4,4,2,529,531,30,0,30,2,0,100,0,1,,,,
4,1,3,529,525,20,40,10,2,50,100,0,1,,,,
4,2,3,532,527,50,70,60,2,40,100,0,1,,,,
4,3,3,526,530,0,0,0,2,0,100,1,1,,,,
