id,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,sq17
508,4,2,5,1,10,8,10,10,8,4,1,4,2,1,2,1,5
501,3,2,2,4,3,6,4,5,6,2,2,1,2,1,4,1,2
504,2,2,5,1,4,7,8,6,7,8,2,1,2,2,3,1,2
502,4,2,4,2,4,6,8,8,7,9,1,1,2,2,1,1,4
503,2,2,2,4,6,7,3,5,4,6,1,2,2,2,3,2,2
506,2,2,2,4,6,9,4,4,6,3,2,3,1,1,2,2,2
505,3,1,3,4,6,9,3,7,8,4,2,2,2,2,4,1,2
507,3,2,3,4,4,6,6,5,5,2,2,2,2,1,2,1,3
515,4,2,4,4,2,3,6,6,7,8,2,2,2,1,2,2,2
510,3,2,3,4,7,9,7,8,7,10,1,3,2,2,4,1,1
509,2,1,3,2,5,9,7,5,7,3,1,4,4,1,3,1,1
511,4,1,4,2,5,10,2,4,10,7,2,3,2,2,4,4,2
513,3,2,2,2,4,7,7,6,6,4,2,2,3,1,2,2,1
516,4,2,2,5,2,7,3,5,10,8,2,1,3,1,3,3,4
512,3,1,2,2,6,8,5,7,8,6,2,2,3,3,3,2,3
514,2,2,3,4,5,5,8,6,9,10,2,2,2,2,2,4,2
532,3,1,2,4,10,9,5,8,9,10,1,2,1,1,3,2,2
531,3,1,2,4,10,8,4,2,2,4,2,3,1,1,2,1,1
527,2,1,3,4,8,8,7,8,6,4,1,4,4,3,3,3,1
526,2,1,3,3,7,7,6,7,8,10,1,2,4,1,2,3,2
528,4,1,3,4,6,8,8,8,8,5,1,3,1,1,3,4,4
530,4,2,2,4,2,7,8,6,4,10,1,3,2,1,3,2,2
529,3,2,2,2,3,5,4,2,3,7,2,3,3,3,2,1,2
525,3,1,4,3,4,4,5,3,6,7,2,4,2,1,2,1,2
518,2,1,4,2,5,7,7,9,7,8,1,1,3,3,5,1,2
521,2,2,4,2,5,8,5,6,9,4,2,3,2,1,3,2,3
522,2,2,4,3,4,7,4,4,5,6,1,3,2,1,2,2,2
519,4,1,3,3,4,4,2,7,7,7,2,1,2,2,2,2,1
523,3,1,4,2,4,5,6,6,5,10,1,1,2,1,3,2,5
520,3,1,4,2,9,9,6,5,8,6,1,3,1,1,3,1,2
517,4,2,3,4,6,4,6,5,6,10,2,2,2,2,3,2,2
524,4,2,2,4,7,10,5,8,6,4,1,2,2,2,3,2,1
539,4,2,1,4,6,10,7,10,10,7,2,3,5,2,5,4,2
536,3,2,3,3,7,8,5,5,6,9,2,2,2,2,3,2,3
533,2,1,3,3,5,4,7,5,6,9,1,3,3,2,2,4,1
538,4,2,3,4,6,8,2,8,9,9,2,3,3,2,5,2,2
537,5,1,5,1,6,9,2,9,8,5,1,3,2,1,3,3,4
540,3,2,2,5,6,8,3,6,8,7,2,2,2,1,1,3,2
534,4,1,4,4,2,10,2,7,6,8,1,3,2,1,2,1,3
535,3,2,5,5,5,8,7,9,7,9,1,4,2,2,2,3,1
542,4,1,5,2,6,9,4,5,8,8,2,2,2,2,3,2,2
545,3,2,4,3,7,9,3,4,9,0,1,4,3,2,3,3,2
543,2,1,4,2,3,8,6,5,5,4,2,2,1,1,2,1,2
547,4,2,3,4,3,7,5,3,5,2,1,3,1,1,5,2,2
541,4,2,5,2,7,8,1,4,7,8,2,2,2,1,2,1,2
546,4,3,5,4,9,10,0,9,10,8,1,1,2,1,2,1,1
544,2,1,3,2,6,7,9,3,6,10,2,4,1,1,2,2,1
548,3,1,2,4,1,8,4,5,6,10,2,2,3,1,5,3,2
551,4,1,4,2,7,10,7,8,10,9,1,3,2,1,2,4,3
554,2,2,4,2,4,9,6,7,6,7,2,2,3,3,1,2,4
552,4,1,4,2,9,7,10,8,3,10,1,4,1,1,2,2,2
550,4,1,2,4,5,5,10,4,5,6,1,3,5,2,3,3,3
549,2,2,4,2,5,4,5,4,6,8,2,2,2,1,2,2,3
555,2,1,2,4,4,8,4,5,4,4,1,3,2,2,2,2,2
553,2,1,3,2,8,9,3,5,8,7,1,3,2,2,3,1,1
556,4,2,3,3,4,10,6,6,6,8,1,2,2,2,3,3,2
563,4,2,2,4,4,10,4,6,8,8,3,1,2,2,3,2,2
560,1,2,2,4,3,7,7,6,6,8,1,5,4,2,4,4,4
564,3,1,2,4,2,10,1,2,8,7,2,4,1,1,1,4,2
558,3,1,2,4,7,8,6,7,8,7,1,3,4,3,3,3,2
557,2,2,4,3,5,8,4,4,6,7,2,2,1,1,2,2,4
562,3,1,1,5,8,10,1,1,10,5,1,3,2,2,4,1,1
559,3,2,5,2,6,8,4,8,7,10,1,3,1,1,3,4,2
561,2,3,4,2,2,7,6,3,3,0,1,4,1,1,2,2,2
571,3,1,4,1,8,8,6,5,3,8,2,2,3,1,2,1,1
567,3,2,4,3,5,8,10,6,6,7,1,3,2,1,3,2,2
565,2,2,5,3,2,3,8,5,7,7,2,2,1,1,2,2,4
566,1,1,4,1,3,10,10,7,4,4,1,1,2,1,2,1,1
572,4,2,5,2,4,8,4,6,8,6,1,1,1,1,3,1,1
568,3,5,2,4,2,8,3,2,7,6,1,1,2,2,2,1,1
570,4,2,2,5,0,5,7,7,4,3,1,2,2,1,5,5,2
569,2,1,2,4,6,6,2,5,6,2,1,4,2,1,3,2,1
576,3,1,4,1,3,10,7,5,8,6,2,3,3,3,2,1,2
578,2,2,4,2,2,4,2,8,9,7,2,4,3,1,2,3,1
575,5,1,3,2,4,7,2,3,8,5,2,2,2,2,5,2,2
573,4,4,4,2,4,7,7,6,7,2,2,2,2,2,2,1,2
574,2,1,4,2,8,7,5,7,4,2,1,2,3,3,3,1,1
577,3,1,4,3,4,7,3,6,8,6,2,2,5,4,1,4,2
580,2,2,4,4,3,6,7,6,2,3,2,2,1,1,2,4,2
579,2,2,4,2,7,7,4,3,3,8,1,3,3,2,3,2,1
583,3,2,4,4,6,9,3,5,9,3,2,2,2,1,2,1,2
582,3,2,3,4,5,7,6,7,7,3,2,1,4,1,3,3,2
581,2,1,2,4,6,8,8,6,6,3,2,3,1,1,5,4,1
585,3,1,1,4,7,8,5,6,6,7,1,2,3,1,3,2,2
586,4,1,2,3,3,5,2,4,4,8,2,3,3,3,3,2,4
584,3,2,2,4,6,4,3,7,5,10,1,2,2,2,2,1,4
588,3,2,1,5,4,9,2,7,9,9,2,2,2,1,3,1,5
